UST Yield - US 30Y Mortgage Yield Spread,(-) ASIA HY Credit Spread,(-) DE-US 10Y Yield Spread,IT-DE 10Y Yield Spread,(-) US 10Y High Yield Spread (Baa),(-) EMBI+ Credit Spread(Global),US CP Spread(3m),(-) China CDS 5Y
0.80025232,0.437369975,0.261155791,0.749637433,-0.823567232,-0.491784079,-0.966741375,-1.278907251
1.093350405,0.49460003,0.332580222,0.883981702,-0.530859897,-0.152873565,-1.760317152,-0.943219585
1.38644849,0.520997511,0.391201595,0.799969865,-0.343852433,-0.047713229,-2.17322893,-0.827749116
1.562307341,0.656512473,0.443097564,0.69203595,-0.075537377,0.031474865,-1.786956622,-1.019323548
1.38644849,0.812971804,0.711913805,0.305903175,-0.164975729,-0.365918599,-0.941503983,-1.367948889
1.269209256,0.960103236,1.088488452,0.436290786,0.42043894,-0.216078741,-1.325673175,-1.320107169
1.034730788,1.012732474,0.927369308,0.375547652,0.664361719,0.093953545,-1.491819341,-1.238848892
1.034730788,1.092501006,0.953991033,0.072896276,0.778192349,0.381646071,-1.375446921,-0.803776367
0.741632703,1.1640149,0.940116388,0.130530769,0.672492478,0.537297899,-0.537705707,-0.310207568
0.683013086,1.16396755,0.874355104,-0.059614225,0.615577163,0.509327792,-0.348425266,-0.257073164
0.741632703,1.111472469,0.722432411,0.161715067,0.786323109,0.702394178,0.210302556,-0.072901572
0.507154235,0.984693535,0.682815703,0.229007859,0.737538553,0.625930445,0.126878954,0.250955388
0.507154235,0.988773504,0.522402953,0.37230811,0.826976905,0.573804337,0.352613407,0.330795364
0.565773852,1.002354989,0.544842292,0.390279262,0.672492478,0.611763767,-0.040669289,0.479301872
0.683013086,1.071785494,0.548495548,0.363922406,0.761930831,0.822629312,-0.099556537,0.635142035
0.976111171,1.145390668,0.732347251,0.389818259,0.981461332,0.961934973,0.166838158,0.740857359
0.858871937,1.150725405,0.808509853,0.616087683,0.745669312,0.708932645,0.697524433,0.639120196
0.80025232,1.156494182,0.896098712,0.579596727,0.761930831,0.83770411,-0.001411123,0.805857063
0.80025232,1.273187622,0.853840356,0.597999288,0.973330572,1.09924277,-0.143721974,0.969549771
0.741632703,1.304683092,1.005921655,0.759218329,0.786323109,0.915620836,0.053269893,0.625802003
0.624393469,1.264727801,1.163167627,0.706512586,0.721277034,0.726913428,-0.945009176,0.602728664
0.624393469,1.232522085,1.256286351,0.842341171,0.794453868,0.660439018,-1.303239938,0.569658033
0.624393469,1.099185211,1.44128561,0.342584224,0.729407793,0.11556681,-0.417828094,0.659702859
0.565773852,0.959108891,1.515874153,-0.452144129,0.688753997,-0.32850404,-0.485127807,0.636387372
0.624393469,0.779874334,1.531282873,-0.360080104,0.591184885,-0.109102164,-0.136010548,0.402471461
0.683013086,0.939048384,1.527608291,-0.806493872,0.713146275,-0.439657971,0.382057031,0.591174699
0.565773852,0.966676958,1.560198378,-0.599904157,0.802584627,-0.46726483,0.753607527,0.665376064
0.389915001,0.991898587,1.752061655,-1.194167877,0.672492478,-0.341217725,0.576244743,0.396002624
0.155436533,0.751930095,1.800528281,-1.182647353,0.249692995,-0.832874081,-0.138113664,0.286343731
0.155436533,0.737346374,1.597481321,-0.815373588,-0.408898508,-1.152895692,-0.562242061,0.342383922
0.272675767,0.836417818,1.479714777,-0.659147039,-0.26254484,-0.75695522,-0.234155962,0.51385999
0.21405615,1.057320148,1.550968608,-0.812288851,0.160254643,-0.252948427,0.555213583,0.830625444
0.21405615,1.221789477,1.509908456,-0.573366315,0.225300717,-0.218803102,0.908537074,0.921881015
0.096816916,1.276794094,1.516677843,-0.645100673,0.485485015,-0.095843607,0.830020743,1.188244889
-0.196281169,1.191801307,1.44995693,-0.858707879,0.249692995,-0.320512581,0.88400072,0.969480585
-0.430759637,1.049160209,1.278926945,-0.664858924,0.200908439,-0.27401682,0.762019991,0.949866518
-0.079041935,1.1426286,1.343827228,-0.023508007,0.347262107,0.091592432,0.79426777,1.220692852
-0.665238105,0.77869059,1.15797763,-0.058153812,-0.091798895,-0.24277748,0.663173539,0.948344439
-0.430759637,0.803675471,1.166178465,0.590797395,0.241562236,0.240887418,0.578347859,1.188417852
-0.665238105,0.91239837,1.023849402,0.693553277,0.200908439,0.425962344,-0.168959366,1.153963512
-0.37214002,1.059482453,1.016502904,0.535662563,0.322869829,0.735449759,-0.290239056,1.331285748
-0.254900786,1.047108387,0.997153039,0.414243455,0.672492478,1.234552702,-0.518777663,1.457030252
-0.137661552,1.162910072,0.864425604,0.484799694,0.680623238,1.308473698,0.443748434,1.489997106
-0.37214002,1.022076156,0.748978165,0.661194274,0.331000588,1.097971402,1.009486643,1.386253566
-2.072108913,-0.120954509,0.014621616,-0.065800772,-2.937564648,-2.670909665,-5.672112945,0.528215965
-0.95833619,-0.310290344,-0.400420849,-0.226924199,-2.986349204,-3.9864128,-3.837494739,0.974323565
-1.075575424,-0.052747205,-0.281673351,-0.279492211,-2.262711627,-2.826379868,0.790762577,0.896835892
-1.661771594,0.380289861,-0.340109462,0.198170737,-1.238235956,-1.297286827,1.069775969,0.94107997
-1.54453236,0.47588899,-0.403297073,0.432846353,-0.969920899,-1.023034482,1.148993339,1.119232431
-0.899716573,0.629728302,-0.355009044,0.607402612,-0.425160026,-0.444743445,1.268870952,1.31101442
-1.251434275,0.699103566,-0.287397808,0.60201969,-0.563382934,-0.50032041,1.340376896,1.269503167
-1.075575424,0.488862819,-0.043758516,0.75380012,-0.335721674,-0.444198573,1.308830156,1.266562786
-0.723857722,0.580634511,0.076491069,0.836973046,0.176516161,0.052906506,1.038229228,1.544342254
-0.313520403,0.876238951,0.156972004,0.938587234,0.648100201,0.480631189,1.001775217,1.669291126
0.858871937,1.005046032,0.278750333,0.940278717,0.916415257,0.596325722,1.167921383,1.618024729
1.269209256,1.05344536,0.336116191,1.128775482,1.184730314,0.74798182,1.051548963,1.639264653
1.445068107,1.291622455,0.719456227,1.132153895,1.22538411,0.590332127,0.920454731,1.532649918
1.679546575,1.432519504,0.686114429,1.074122143,1.493699167,0.758879264,0.942887969,1.365774681
1.503687724,1.618627665,0.528304675,0.937247479,1.469306889,0.90018279,1.055755195,1.351176557
0.858871937,1.405893165,0.446321653,1.04136702,1.509960686,0.934509739,1.358603902,1.402685103
0.389915001,0.937422709,0.371873056,1.050499434,1.453045371,0.644274476,1.353696631,1.346160614
0.331295384,0.606590061,0.478719814,1.058436655,1.22538411,0.691496734,1.430109846,1.394106111
0.389915001,0.241373609,0.382694212,1.073431207,1.444914611,0.779402784,1.351593515,1.343081863
0.80025232,-0.459836613,0.457130814,1.027385536,1.355476259,0.574712457,1.323551968,0.95716558
0.683013086,-0.782477755,0.569068941,0.845088977,1.168468795,0.563815013,1.025610532,0.904377103
0.272675767,-0.964797937,0.522536235,0.740221587,1.070899684,0.430139698,0.827216588,1.107401723
0.565773852,-1.294896664,0.584837521,0.724078511,1.062768925,0.353312717,1.220499283,1.078793552
0.80025232,-1.225979114,0.455390153,0.430783791,0.493615774,0.095406538,1.120250753,0.801982679
0.624393469,-1.998687447,0.553288365,0.502608072,0.241562236,-0.921143379,-0.804100403,0.570453665
0.155436533,-1.439842116,0.769081072,0.343807874,0.396046662,0.051816761,-0.168258327,0.279494374
-0.020422318,-1.633250029,0.681257637,0.015127467,-0.230021803,-0.739882558,-1.282909816,-0.093207493
-0.37214002,-1.948023223,0.32799266,-0.092451304,-0.579644453,-1.001784466,-1.389467695,-0.034226921
-0.020422318,-2.937727531,0.49101107,-0.149298108,-1.034966973,-2.003259585,-0.827935718,-0.206636992
0.272675767,-2.756346453,0.54228328,-0.264413426,-0.490206101,-1.072981101,0.056775087,0.086951345
-0.95833619,-2.48818908,0.393515369,-0.408098414,-0.864221028,-1.30854752,-0.096752382,-0.250362178
-2.13072853,-3.035646798,0.51355037,-0.399003563,-1.010574696,-1.923889867,-1.064886789,-1.23653118
-1.134195041,-3.023091225,0.550320177,-0.030541435,-0.61216749,-1.008867805,-0.637954238,-0.388594651
-0.547998871,-2.031556059,0.138656407,-0.047435775,-0.587775212,-0.424401549,-0.241867388,0.075812492
-0.196281169,-1.417714003,-0.074719899,0.105183567,-0.400767748,-0.340491229,1.072580123,0.69951907
-0.196281169,-1.330487887,-0.059443129,0.12219515,-0.303198637,-0.147424843,1.284293802,0.499331052
-1.016955807,-1.629020119,-0.156745571,0.138333673,-0.701605842,-0.689391067,-0.252382968,0.034577981
-1.485912743,-1.925887218,-0.379370308,0.131649698,-0.644690527,-0.787831312,0.457769207,0.176961579
