S&P500 12MF EPS YoY,S&P500 12MF EPS Drawdown(12M)\,EM 12MF EPS YoY,US BEI 5Y5Y,Copper/금 Ratio,독일 제조업 3개월후 수출기대지수???,미국 CEO Confidence Index???,독일 ZEW 현재 경제 상황,WTI YOY???,LME YOY???,Citi Macro Risk Index???,US State Coincident Index,컨퍼런스보드,미시간대,NFIB Small Business,MFG ISM,NON MFG ISM,Philly FED,NAHB,EM/CN,DM/EU,American Association of Individual Investors % Bullish,StateStreet Investor Confidence Index,Credit Managers' Index,Homebuyer Confidence,China MFG PMI,ISM New Order Index - Inventory Index,ISM New Order Index,"New York Fed, Weekly Economic Index",엠파이어스테이트 제조업 지수,미국 경기 선행지수 LEI,경기 체감 지수,내구재 구입 여건,실업률 서베이,미국 존슨 레드북 지수,Sahm Rule Recession Indicator
0.832989739,0.439026517,1.462291332,2.067887273,2.065857247,1.230410786,-0.087290442,-0.528276874,0.547032024,0.678163846,0.876217368,0.408687976,-1.237713652,-0.971130719,-1.05966686,0.902510696,-0.321086069,0.141173053,-1.91356126,0.393982766,1.03741559,0.161451832,0.040608718,0.336494655,0.356381798,1.359211772,0.674147954,0.765824059,0.247612975,0.89962351,0.696764564,-0.566910151,-0.031506863,-0.569945279,0.028137979,0.233149155
0.752950672,0.439026517,1.613782547,1.611132312,1.408643464,1.038127804,-0.290396956,-0.711255456,0.710352425,1.072121416,0.198317387,0.272458651,-1.412273757,-0.623461635,-1.130823954,0.136197939,-0.38534474,-0.277229389,-1.91356126,0.38190016,0.898710631,-0.841909879,0.586587139,-0.344735341,0.414102988,0.825249389,-0.154324196,-0.219827116,0.000569225,0.288751822,0.747031498,-0.585426276,-0.246958204,-0.083884656,0.004588375,0.233149155
0.757209729,0.439026517,1.468475808,1.634282588,1.431805183,0.822810924,-1.43091815,-1.09506419,0.488180781,1.449975693,-0.395470255,0,-1.578714789,-0.839789065,-1.006299039,0.383395602,-0.642379425,-0.689387019,-2.062109838,0.348213854,0.723547525,-0.692069472,0.188802861,-0.344735341,0.356381798,0.172628699,-0.425460536,-0.219827116,-0.00384227,-0.756517512,0.696764564,-1.152517312,-0.318775318,-0.569945279,-0.087255083,0.212774347
0.733836816,0.439026517,1.316319431,2.085481483,1.715536244,0.405196324,-1.602777508,-1.302588679,0.481700767,1.538880459,-0.490039803,-0.068114663,-1.513762191,-1.442415477,-1.184191775,-0.333477622,-0.867284773,-0.221026076,-1.963077453,0.289250735,0.52586615,0.369247388,0.446192688,-0.174427842,0.298660608,0.053970391,0.644021694,0.128941762,0.018215207,-0.804029754,0.822431899,-1.834422504,-0.677860886,-1.420551369,0.061107425,0.233149155
0.64952993,0.439026517,1.064616713,1.628958025,0.372156528,0.055681947,-1.524659618,-1.699786089,0.117477121,0.614866141,-2.021793682,-0.136229325,-2.08209742,-2.052767869,-1.593345068,-0.407636922,-0.867284773,-1.875901409,-1.963077453,0.201579344,0.32288636,-0.93147693,-0.676962922,-0.983388462,0.067775849,0.172628699,-1.012922606,-0.477612807,-0.039134235,-0.661493027,0.57109723,-2.153818266,-0.965129341,-1.66358168,0.082302069,0.233149155
0.557067113,0.439026517,0.512855884,0.524458319,-0.235838603,-0.351917915,-2.180849894,-1.893921902,0.13474829,-0.007764657,-2.216388714,0.408687976,-2.033382972,-1.766906622,-1.415452332,-0.135719491,-1.2528368,-1.351337152,-2.012593646,0.100858738,0.1361172,-0.905344425,-0.528768779,-0.51504284,0.298660608,0.35061616,-1.118364516,-0.644415314,-0.114129658,-0.68864288,0.269495626,-1.615314045,-0.749678,-1.906611992,0.101141753,0.253523964
0.278259437,-0.093888864,0.435992353,0.641135714,-0.577473961,-0.023434488,-2.180849894,-1.67077729,-0.058662857,-0.762748747,-1.861752909,0.340573314,-2.256657526,-1.666468887,-1.184191775,-0.704274118,-1.092190122,-0.277229389,-1.864045067,0.005261157,-0.021069139,-0.11462543,-0.123184809,-0.557619714,0.356381798,-0.12401707,-0.320018626,-0.614087585,-0.025899748,-0.783667364,0.445429895,-1.039730296,-0.677860886,-1.66358168,0.098786792,0.280690376
0.203815285,-0.100616564,0.193445403,0.536496463,-0.641168689,-0.529178788,-1.634024664,-1.440938339,0.182045405,-0.759246862,-1.849477054,0.408687976,-1.676143685,-1.442415477,-0.899563397,-0.605395052,-1.060060786,-0.408370453,-1.765012681,-0.068926046,-0.142365017,0.285159734,0.204402244,-0.642773464,0.356381798,-0.954625221,0.628958564,-0.174335523,-0.047957226,-0.064196265,0.244362159,-0.877027165,-0.677860886,-1.177521057,-0.193228303,0.321439993
0.124767469,0.091479655,-0.08972991,0.636274156,-0.31690462,-0.148618721,-1.243435214,-1.13523022,0.065064642,-1.008411762,-1.51621033,0.340573314,-1.2864281,-0.963404739,-0.561567199,-0.308757856,-1.156448793,-0.514532267,-1.665980296,-0.115564906,-0.232059629,-0.168154914,-0.177782651,-0.259581591,0.471824178,-0.183346223,0.704274214,-0.098516202,-0.127364145,0.397351233,0.068427891,-1.544961046,-0.246958204,-0.934490746,-0.207358065,0.348606405
-0.056263624,0.153812814,-0.096013364,0.816846315,0.021835524,-0.195687992,-0.774727874,-0.900928377,0.102170307,-0.920761367,-0.771929801,0.408687976,-1.420392832,-0.569379777,-0.561567199,-0.01212066,0.353629977,-0.196046826,-1.467915524,-0.129484069,-0.298857515,2.859000644,-0.325976794,-0.089274092,0.587266558,-0.064687916,0.689211084,0.599021553,-0.299412471,0.383776307,0.143828291,-1.0072074,-0.318775318,-0.326914967,-0.2827168,0.348606405
