미국 Redbook 월간 소비증가율???,기업 파산건수,US PPI - CPI Index,Korea Export Growth,China Credit Impulse,미국 산업생산 증가율,"미국 자동차 판매: HEAVY & MEDIUM TRUCKS (백만대, 좌)",미국 제조업 신규수주,미국 제조업 판매대비 재고율,BDI,JOLTS,미국 자동차 제외 소매판매 (YoY),미국 전산업 가동률,US 기업+가계대출 증가율,미국 소비자 신용 변화율(아웃스탠딩)
-0.541762448,-1.147994597,-0.102151355,-0.743873506,0.375035671,0.243171484,-0.702266124,-0.136534367,0.851756465,-0.732779318,0.069232541,-0.570015163,-0.216291932,0.804302874,0.517993786
-0.405174743,-0.780355804,-0.138054893,-0.491651706,-0.34382448,0.238253481,-0.339428626,0.072743717,0.851756465,-0.942050258,-0.510131363,-0.5850639,-0.218249163,0.817369499,0.475066083
-0.60534638,-0.464344021,-0.138054893,-0.253442228,-0.617768484,0.147270413,-1.246522369,0.226027257,0.851756465,-0.846315228,-0.437497046,-0.686975998,-0.300220352,0.848011724,0.498171778
-0.659510471,0.503988721,-0.31757258,-0.050263556,-0.761540514,0.245630486,-0.339428626,-0.327310259,0.94976853,-0.720157774,-0.213451719,-0.685156956,-0.20849903,0.785594906,0.519751933
-0.452273952,0.918985511,-0.281669043,-0.743873506,-0.817883607,0.186614442,0.023408871,0.142482746,0.94976853,-0.848174086,-0.384842168,-0.377215565,-0.256015288,0.832073789,0.56445945
-0.522922765,0.952423175,-0.209861968,0.440167722,-1.684401519,0.031697327,-1.065103621,-0.525812342,0.94976853,-0.486641986,-0.635635538,-0.495522419,-0.375769564,0.745579047,0.54575487
-0.419304505,0.958187649,-0.245765505,-0.926033695,-1.47457207,0.078418362,-0.883684872,-0.157151095,1.145792661,-0.082316263,-0.1156825,-0.668088743,-0.331155842,0.56611623,0.512738766
-0.334525929,0.869208107,-0.31757258,-0.323503839,-1.719373094,0.314482538,-0.702266124,0.36202853,0.851756465,-0.133166207,-0.53138112,-0.753734189,-0.11519381,0.575725635,0.501485669
-0.459338833,0.758950312,-0.389379655,-0.316497678,-2.183717894,0.105467382,-0.520847375,0.032384541,0.851756465,-0.341597009,-0.39586516,-0.803837324,-0.281527833,0.467287635,0.480223608
-0.38869002,0.805404597,-0.102151355,-0.106312845,-2.280861158,0.073500358,-0.520847375,0.600157833,1.047780595,-0.447347747,-0.248360843,-0.728982149,-0.287120458,0.391237824,0.531142755
-0.329816008,0.82250411,0.005559257,-0.39356545,-1.744630343,0.112844387,-0.339428626,0.818930997,0.94976853,-0.15292087,-0.347242366,-0.695562693,-0.231032046,0.30772729,0.473419061
-0.275651918,0.703625002,-0.138054893,-0.14134365,-1.44154336,-0.022400713,0.023408871,-0.122627225,0.94976853,-0.077603331,-0.45226149,-0.652057059,-0.325261618,0.245889362,0.457974142
-0.136709252,0.668718092,-0.281669043,0.208964405,-1.476514935,0.228417473,-0.520847375,0.325207135,0.94976853,0.388534362,-0.290342612,-0.727412508,-0.093126159,0.14468023,0.450616081
-0.023671151,0.629705859,-0.532993805,-0.442608578,-0.932512658,0.380875587,-0.339428626,0.634600374,0.94976853,1.595022452,-0.33591429,-0.643826328,0.058510088,0.123061141,0.445530794
