,S&P 500 Growth Total Return Index,S&P 500 High Beta Total Return Index,S&P 500 Quality U.S. Dollar Gross Total Return Index,S&P 500 QVML Multi-Factor Index (USD) TR,S&P 500 Value Total Return Index,S&P 500 Revenue-Weighted Index (TR),S&P 500 Minimum Volatility Total Return Index,S&P 500 Equal Weighted USD Total Return Index,S&P 500 Buyback Total Return Index,S&P 500 Low Volatility Total Return Index,S&P 500 Momentum U.S. Dollar Gross Total Return Index,S&P 500 Enhanced Value Total Return Index,S&P 500 Pure Growth Total Return Index,S&P 500 Dividend Aristocrats Total Return Index,S&P 500 Pure Value Total Return Index,S&P 500 Low Volatility High Dividend Index,S&P 500 High Dividend Total Return Index,S&P 100 Total Return 4 JAN 1988 Index
,SPTRSGX Index,SP5HBIT Index,SPXQUT Index,SPXQLMUT Index,SPTRSVX Index,REVWLT Index,SP5MVT Index,SPXEWTR Index,SPBUYUT Index,SP5LVIT Index,SP500MUT Index,SPXEVUT Index,SPTRXPG Index,SPDAUDT Index,SPTRXPV Index,SP5LVHDT Index,SPXHDUT Index,SPTR100 Index
2006-02-27,1248.12,8146.97,565.972,402.94,2380.213,4391.187,5564.79,2425.86,6928.89,5899.82,457.785,586.376,3647.22,713.29,4101.21,6659.72,8518.853,885.8
2006-02-28,1237.25,8049.97,560.671,399.03,2360.411,4346.713,5514.17,2399.11,6847.98,5852.98,452.103,579.409,3600.79,706.81,4063.46,6614.49,8452.971,877.77
2006-03-01,1246.84,8199.34,567.916,401.8,2382.435,4378.871,5536.08,2421.88,6927.46,5871.6,455.827,583.008,3623.35,710.32,4089.17,6633.67,8471.877,884.85
2006-03-02,1244.71,8217.32,567.236,401.26,2378.811,4367.215,5531.89,2418.42,6904.74,5859.73,456.691,581.711,3620.37,708.53,4071.06,6618.52,8435.003,882.96
2006-03-03,1243.58,8186.97,567.158,400.6,2373.99,4358.768,5520.66,2413.11,6888.04,5852.72,455.51,579.241,3611.04,707.28,4063.4,6610.94,8414.233,882.84
2006-03-04,1243.58,8186.97,567.158,400.6,2373.99,4358.768,5520.66,2413.11,6888.04,5852.72,455.51,579.241,3611.04,707.28,4063.4,6610.94,8414.233,882.84
2006-03-05,1243.58,8186.97,567.158,400.6,2373.99,4358.768,5520.66,2413.11,6888.04,5852.72,455.51,579.241,3611.04,707.28,4063.4,6610.94,8414.233,882.84
2006-03-06,1234.74,8056.66,563.118,397.45,2357.985,4329.513,5490.36,2391.71,6834.83,5823.83,448.789,573.801,3582.98,704.09,4035.95,6613.74,8374.854,878.22
2006-03-07,1232.77,7943.63,561.367,397.61,2353.178,4325.015,5485.13,2381.26,6810.78,5834.79,446.155,572.833,3569.01,704.76,4022.49,6593.95,8361.618,877.97
2006-03-08,1237.19,7950.43,563.293,398.95,2355.582,4332.476,5507.97,2385.17,6825.06,5858.04,447.656,573.107,3578.76,706.21,4028.72,6619.37,8387.215,880.59
2006-03-09,1230.17,7885.77,560.883,397.61,2346.088,4321.487,5497.35,2376.09,6803.24,5850.09,444.864,570.65,3560.28,704.95,4016.34,6614.82,8366.379,876.61
2006-03-10,1238.23,7969.6,565.218,400.38,2365.223,4355.35,5531.8,2395.51,6854.59,5891.23,447.683,575.031,3581.29,711.2,4057.31,6667.94,8426.925,883.58
2006-03-11,1238.23,7969.6,565.218,400.38,2365.223,4355.35,5531.8,2395.51,6854.59,5891.23,447.683,575.031,3581.29,711.2,4057.31,6667.94,8426.925,883.58
2006-03-12,1238.23,7969.6,565.218,400.38,2365.223,4355.35,5531.8,2395.51,6854.59,5891.23,447.683,575.031,3581.29,711.2,4057.31,6667.94,8426.925,883.58
2006-03-13,1240.41,8006.85,567.157,402.05,2371.948,4365.531,5543.1,2401.49,6864.48,5897.53,450.745,578.727,3588.12,712.8,4068.77,6685.65,8470.413,884.88
2006-03-14,1252.04,8154.67,572.61,405.23,2399.062,4410.028,5575.83,2429.47,6946.22,5936.32,457.112,585.881,3630.09,719.12,4116.8,6723.02,8534.868,892.2
2006-03-15,1256.34,8259.71,575.669,406.94,2411.695,4434.104,5591.04,2445.27,6997.02,5951.4,459.335,590.294,3643.15,721.09,4139.33,6748.79,8571.261,895.36
2006-03-16,1257.62,8256.53,576.799,408.8,2417.917,4458.534,5616.44,2450.03,7003.58,5967.54,461.616,594.393,3650.26,723,4160.77,6770.14,8606.195,896.84
2006-03-17,1259.94,8292.47,577.051,408.54,2420.581,4456.068,5637.27,2456.73,7025.4,5983.37,461.555,593.692,3654.75,725.75,4169.27,6788.34,8618.942,898.02
2006-03-18,1259.94,8292.47,577.051,408.54,2420.581,4456.068,5637.27,2456.73,7025.4,5983.37,461.555,593.692,3654.75,725.75,4169.27,6788.34,8618.942,898.02
2006-03-19,1259.94,8292.47,577.051,408.54,2420.581,4456.068,5637.27,2456.73,7025.4,5983.37,461.555,593.692,3654.75,725.75,4169.27,6788.34,8618.942,898.02
2006-03-20,1259.15,8236.78,576.618,407.51,2414.044,4447.898,5609.63,2449.02,7008.39,5970.4,457.663,591.978,3645.11,726.06,4152.06,6750.13,8585.394,897.9
2006-03-21,1252.5,8169.96,574.193,405.21,2397.785,4433.295,5586.24,2433.33,6964.68,5942.8,452.971,588.673,3623.79,722.96,4130.61,6715.64,8537.195,894.11
2006-03-22,1258.66,8211.97,576.83,407.02,2415.002,4460.28,5614.51,2447.01,6996.73,5975.59,455.567,592.615,3637.28,727.32,4156.35,6770.12,8598.588,900
2006-03-23,1255.34,8253.19,575.908,405.99,2408.928,4453.981,5605.41,2444.41,6987.63,5958.83,457.148,592.328,3636.82,725,4150.96,6758.01,8576.115,896.53
2006-03-24,1255.82,8320.1,576.499,407.02,2412.761,4462.395,5610.31,2449.72,7001.58,5959.86,458.866,593.527,3645.46,725.45,4158.15,6764.13,8574.004,896.96
2006-03-25,1255.82,8320.1,576.499,407.02,2412.761,4462.395,5610.31,2449.72,7001.58,5959.86,458.866,593.527,3645.46,725.45,4158.15,6764.13,8574.004,896.96
2006-03-26,1255.82,8320.1,576.499,407.02,2412.761,4462.395,5610.31,2449.72,7001.58,5959.86,458.866,593.527,3645.46,725.45,4158.15,6764.13,8574.004,896.96
2006-03-27,1253.11,8338.04,576.913,406.58,2413.011,4462.656,5596.6,2447.53,7008.39,5943.09,459.596,594.843,3640.66,723.99,4158.97,6737.4,8551.973,896.01
2006-03-28,1245.81,8312.06,573.545,404.54,2396.011,4437.743,5568.14,2436.99,6975.43,5899.63,458.259,591.652,3634.52,717.86,4133.89,6715.5,8506.884,888.7
2006-03-29,1254.41,8433.9,578.936,407.3,2416.176,4466.405,5605.95,2459.5,7045.78,5932.41,465.35,595.129,3667.24,720.82,4164.61,6776.13,8568.987,894.27
2006-03-30,1253.29,8420.27,578.693,405.69,2408.764,4444.552,5585.43,2452.07,7033.11,5907.66,464.572,591.359,3662.03,717.22,4134.31,6719.49,8496.82,893.32
2006-03-31,1247.09,8358.22,574.52,403.42,2400.654,4426.295,5569.72,2443.18,7010.59,5891.15,461.468,588.465,3645.83,714.95,4117.92,6704.65,8471.724,889.53
2006-04-01,1247.09,8358.22,574.52,403.42,2400.654,4426.295,5569.72,2443.18,7010.59,5891.15,461.468,588.465,3645.83,714.95,4117.92,6704.65,8471.724,889.53
2006-04-02,1247.09,8358.22,574.52,403.42,2400.654,4426.295,5569.72,2443.18,7010.59,5891.15,461.468,588.465,3645.83,714.95,4117.92,6704.65,8471.724,889.53
2006-04-03,1248.33,8366.66,576.974,405.2,2409.413,4427.001,5576.4,2445.9,7019.36,5909.31,464.278,589.874,3641.15,716.99,4133.63,6721.44,8496.425,892
2006-04-04,1254.76,8396.99,579.515,407.85,2427.692,4451.78,5587.78,2458.48,7067.74,5941.42,468.054,595.432,3664.6,719.96,4163.86,6743.23,8542.702,897.45
2006-04-05,1258.64,8533,582.293,409.82,2441.618,4477.322,5607.82,2472.21,7099.26,5957.04,473.971,601.58,3671.85,723.44,4188.37,6774.25,8583.161,900.41
2006-04-06,1256.59,8577.33,581.092,408.39,2437.391,4467.384,5590.63,2469.73,7089.24,5934.44,474.198,600.521,3670.75,721.29,4174.43,6738.21,8531.154,897.98
2006-04-07,1243.54,8466.08,574.708,403.89,2412.314,4421.16,5538.86,2444.32,7030.16,5879.5,466.496,593.65,3638.41,714.47,4130.29,6664.95,8446.817,888.61
2006-04-08,1243.54,8466.08,574.708,403.89,2412.314,4421.16,5538.86,2444.32,7030.16,5879.5,466.496,593.65,3638.41,714.47,4130.29,6664.95,8446.817,888.61
2006-04-09,1243.54,8466.08,574.708,403.89,2412.314,4421.16,5538.86,2444.32,7030.16,5879.5,466.496,593.65,3638.41,714.47,4130.29,6664.95,8446.817,888.61
2006-04-10,1245,8444.67,576,405.04,2413.712,4423.779,5535.77,2443.39,7026.87,5881.64,467.915,594.965,3637.95,715.25,4125.75,6652.92,8445.516,890.08
2006-04-11,1235.61,8338.96,572.751,402.62,2395.39,4388.058,5494.23,2420.46,6955.77,5839.47,462.984,590.848,3604.77,710.87,4092.3,6600.67,8380.361,883.99
2006-04-12,1236,8356.11,572.917,402.93,2400.473,4402.005,5494.63,2424.56,6980.81,5842,465.165,591.568,3608.37,712.09,4110.35,6603.77,8381.548,884.55
2006-04-13,1237.09,8387.56,574.548,403.08,2402.076,4407.493,5490.86,2427.61,7000.69,5836.09,465.923,591.623,3609.32,712,4110.08,6579.51,8373.202,885.38
2006-04-14,1237.09,8387.56,574.548,403.08,2402.076,4407.493,5490.86,2427.61,7000.69,5836.09,465.923,591.623,3609.32,712,4110.08,6579.51,8373.202,885.38
2006-04-15,1237.09,8387.56,574.548,403.08,2402.076,4407.493,5490.86,2427.61,7000.69,5836.09,465.923,591.623,3609.32,712,4110.08,6579.51,8373.202,885.38
2006-04-16,1237.09,8387.56,574.548,403.08,2402.076,4407.493,5490.86,2427.61,7000.69,5836.09,465.923,591.623,3609.32,712,4110.08,6579.51,8373.202,885.38
2006-04-17,1231.85,8360.76,573.344,403.54,2398.15,4400.377,5498.58,2422.5,6990.45,5828.62,466.882,592.378,3604.67,710.66,4106.84,6571.17,8366.819,882.28
2006-04-18,1250.55,8603.6,583.681,410.29,2445.051,4480.353,5585.41,2466.94,7113.38,5904.06,477.431,604.791,3651.1,722.56,4188.86,6671.54,8512.228,896.99
2006-04-19,1253.12,8674.53,584.254,411.16,2449.033,4487.682,5615.08,2475.62,7118.1,5914.24,481.056,606.891,3664.01,724.33,4203.82,6683.67,8516.79,897.38
2006-04-20,1253.85,8633.26,584.761,411.01,2453.463,4504.503,5641.18,2480.18,7158.9,5947.78,481.024,606.164,3677.35,725.16,4216.71,6707.3,8557.378,899.02
2006-04-21,1252.7,8609.25,585.696,412.97,2455.139,4495.356,5637.59,2476.28,7123.09,5941.28,483.841,607.177,3659.48,725.48,4216.49,6712.13,8553.731,898.64
2006-04-22,1252.7,8609.25,585.696,412.97,2455.139,4495.356,5637.59,2476.28,7123.09,5941.28,483.841,607.177,3659.48,725.48,4216.49,6712.13,8553.731,898.64
2006-04-23,1252.7,8609.25,585.696,412.97,2455.139,4495.356,5637.59,2476.28,7123.09,5941.28,483.841,607.177,3659.48,725.48,4216.49,6712.13,8553.731,898.64
2006-04-24,1249.53,8541.77,583.666,412.24,2449.54,4476.568,5632.87,2469.57,7110.39,5946.32,480.476,604.216,3653.43,725.21,4208.96,6710.31,8554.689,897.09
2006-04-25,1244.62,8491.86,582.313,409.74,2435.306,4450.708,5623.86,2459.33,7069.23,5931.63,474.486,598.905,3629.38,721.66,4183.87,6697.23,8517.966,894.28
2006-04-26,1247.34,8502.57,583.136,410.03,2444.211,4471.156,5643.75,2466.23,7081.22,5960.56,471.775,600.64,3631.7,725.8,4216.18,6710.38,8528.625,898.15
2006-04-27,1250.38,8461.46,583.893,410.57,2455.745,4472.314,5666.59,2467.99,7058.58,6009.38,467.396,601.522,3617.52,728.74,4231.33,6767.71,8604.917,903.69
2006-04-28,1246.09,8453.48,581.045,410.54,2467.597,4477.085,5667.34,2469.19,7037.2,6018.61,468.79,605.602,3615.1,731.55,4245.39,6782.48,8649.82,903.25
2006-04-29,1246.09,8453.48,581.045,410.54,2467.597,4477.085,5667.34,2469.19,7037.2,6018.61,468.79,605.602,3615.1,731.55,4245.39,6782.48,8649.82,903.25
2006-04-30,1246.09,8453.48,581.045,410.54,2467.597,4477.085,5667.34,2469.19,7037.2,6018.61,468.79,605.602,3615.1,731.55,4245.39,6782.48,8649.82,903.25
2006-05-01,1241.1,8460.75,580.966,409.97,2457.077,4470.577,5639.41,2459.4,7010.91,5977.27,470.326,603.633,3597.78,729.42,4234.18,6744.88,8586.952,899.57
2006-05-02,1246.13,8516.34,585.214,413.05,2477.265,4506.721,5651.96,2473.94,7058.44,6005.93,476.471,610.341,3606,732.86,4269.87,6765.37,8625.504,905.08
2006-05-03,1239.36,8506.05,581.411,409.93,2471.364,4485.418,5625.01,2469.2,7049.6,5991.71,473.502,607.652,3592,732.77,4254.12,6751.06,8613.699,901.13
2006-05-04,1242.73,8543.31,582.853,410.2,2481.419,4495.351,5651.14,2479.89,7071.59,6012.85,474.455,606.614,3597.68,733.54,4266.98,6791.91,8656.163,904.72
2006-05-05,1254.25,8622.61,587.127,414.35,2509.563,4550.771,5701.99,2504.63,7154.98,6074.98,480.302,614.123,3633.24,739.74,4312.92,6855.18,8756.469,914.42
2006-05-06,1254.25,8622.61,587.127,414.35,2509.563,4550.771,5701.99,2504.63,7154.98,6074.98,480.302,614.123,3633.24,739.74,4312.92,6855.18,8756.469,914.42
2006-05-07,1254.25,8622.61,587.127,414.35,2509.563,4550.771,5701.99,2504.63,7154.98,6074.98,480.302,614.123,3633.24,739.74,4312.92,6855.18,8756.469,914.42
2006-05-08,1253.83,8603.95,588.449,414,2506.7,4553.177,5706.45,2506.8,7166.09,6076.28,478.24,611.706,3634.27,742.82,4322.51,6867.53,8752.2,914.32
2006-05-09,1252.88,8617.29,588.442,414.3,2510.419,4569.46,5698.08,2504.12,7146.45,6069.29,479.708,612.121,3623.97,742.58,4323.85,6855.67,8738.687,915.7
2006-05-10,1249.91,8625.51,586.732,415.11,2509.814,4576.01,5705,2503.32,7144.25,6074.26,481.381,615.118,3621.19,741.34,4339.01,6855.65,8739.232,913.5
2006-05-11,1233.96,8437.33,579.334,411.2,2478.465,4522.055,5654.78,2470.35,7066.87,6019.53,472.305,608.348,3570.29,734.78,4280.61,6781.16,8638.682,902.63
2006-05-12,1221.82,8254.3,572.763,406.49,2447.356,4469.356,5605.54,2440.07,6990.05,5977.88,462.162,599.975,3526.66,727.77,4223.21,6711.91,8560.299,893.52
2006-05-13,1221.82,8254.3,572.763,406.49,2447.356,4469.356,5605.54,2440.07,6990.05,5977.88,462.162,599.975,3526.66,727.77,4223.21,6711.91,8560.299,893.52
2006-05-14,1221.82,8254.3,572.763,406.49,2447.356,4469.356,5605.54,2440.07,6990.05,5977.88,462.162,599.975,3526.66,727.77,4223.21,6711.91,8560.299,893.52
2006-05-15,1227.58,8158.31,573.878,407.7,2448.847,4475.27,5637.89,2440.65,6994.1,6019.09,457.485,599.54,3533.37,731.38,4223.52,6759.54,8616.432,897.3
2006-05-16,1224.51,8102.12,572.731,408.26,2445.854,4466.875,5625.95,2431.18,6966.65,6009,456.556,598.653,3525.23,730.3,4205.06,6739.51,8582.119,896.75
2006-05-17,1206.56,7935.39,564.031,401.25,2400.744,4386.375,5551.5,2391.43,6850.76,5926.08,448.487,586.87,3477.59,718.7,4129.3,6633.59,8441.833,881.6
2006-05-18,1199.62,7864.64,560.852,398.91,2382.694,4362.289,5522.79,2376.42,6817.52,5897.96,442.006,582.969,3457.92,715.26,4103.5,6594.4,8396.502,876.64
2006-05-19,1203.06,7918.88,562.334,400.14,2395.508,4385.348,5535.45,2389.64,6867.98,5927.68,444.937,586.135,3470.91,718.53,4132.97,6638.25,8455.166,879.1
2006-05-20,1203.06,7918.88,562.334,400.14,2395.508,4385.348,5535.45,2389.64,6867.98,5927.68,444.937,586.135,3470.91,718.53,4132.97,6638.25,8455.166,879.1
2006-05-21,1203.06,7918.88,562.334,400.14,2395.508,4385.348,5535.45,2389.64,6867.98,5927.68,444.937,586.135,3470.91,718.53,4132.97,6638.25,8455.166,879.1
2006-05-22,1198.59,7770.83,559.954,400.22,2385.675,4365.626,5541.63,2376.26,6833.99,5939.49,440.352,583.549,3453.01,716.56,4121.12,6629.85,8446.386,877.23
2006-05-23,1193.33,7754.93,558.226,399.48,2375.44,4350.209,5506.82,2364.42,6774.6,5901.29,439.66,581.733,3433.08,714.8,4098.52,6594.53,8399.467,874.26
2006-05-24,1197.79,7745.61,559.523,400.07,2374.345,4357.958,5513.34,2365.43,6779.39,5926.61,436.793,580.08,3439.67,717.2,4097.96,6609.42,8413.459,876.97
2006-05-25,1211.37,7894.17,565.897,404.82,2402.017,4420.932,5566.6,2392.33,6834.76,5967.21,446.108,588.745,3476.63,721.72,4159.32,6690.82,8492.475,885.75
2006-05-26,1216.16,7981.48,568.364,406.59,2420.568,4450.815,5590.34,2408.66,6880.25,5992.62,450.136,593.619,3491.18,724.91,4198.78,6740.14,8552.848,890.81
2006-05-27,1216.16,7981.48,568.364,406.59,2420.568,4450.815,5590.34,2408.66,6880.25,5992.62,450.136,593.619,3491.18,724.91,4198.78,6740.14,8552.848,890.81
2006-05-28,1216.16,7981.48,568.364,406.59,2420.568,4450.815,5590.34,2408.66,6880.25,5992.62,450.136,593.619,3491.18,724.91,4198.78,6740.14,8552.848,890.81
2006-05-29,1216.16,7981.48,568.364,406.59,2420.568,4450.815,5590.34,2408.66,6880.25,5992.62,450.136,593.619,3491.18,724.91,4198.78,6740.14,8552.848,890.81
2006-05-30,1196.71,7779.3,558.899,400.56,2382.869,4371.173,5539.95,2372.68,6784.1,5928.72,441.706,583.068,3439.34,713.99,4127.72,6680.84,8441.355,876.84
2006-05-31,1204.77,7878.68,563.501,404.29,2407.254,4416.652,5576,2397.73,6847.94,5972.38,449.225,589.4,3468.37,719.54,4178.45,6722.66,8512.572,883.41
2006-06-01,1218.55,8015.49,569.78,408.12,2439.046,4467.758,5639.25,2428.33,6943.9,6030.26,454.753,597.686,3510.29,728.39,4237.79,6812.27,8619.134,892.62
2006-06-02,1219.55,8002.64,570.779,409.61,2446.498,4469.964,5646.35,2429.38,6945.23,6036.98,458.142,599.22,3502.43,727.57,4240.18,6825.97,8655.238,894.43
2006-06-03,1219.55,8002.64,570.779,409.61,2446.498,4469.964,5646.35,2429.38,6945.23,6036.98,458.142,599.22,3502.43,727.57,4240.18,6825.97,8655.238,894.43
2006-06-04,1219.55,8002.64,570.779,409.61,2446.498,4469.964,5646.35,2429.38,6945.23,6036.98,458.142,599.22,3502.43,727.57,4240.18,6825.97,8655.238,894.43
2006-06-05,1198.38,7752,560.15,402.71,2402.109,4387.31,5574.4,2383.25,6822.32,5961.95,445.76,586.763,3437.65,715.31,4165.04,6762.36,8552.591,879.42
2006-06-06,1198.39,7714.07,561.173,402.79,2396.921,4371.793,5574.22,2376.26,6807.23,5963.35,444.02,583.581,3426.79,714.28,4150.77,6747.76,8531.541,879.29
2006-06-07,1191.69,7569.66,554.265,399.76,2382.064,4343.563,5574.72,2363.38,6775.68,5970.62,434.598,579.279,3419.27,713.44,4127.07,6741.84,8523.029,874.12
2006-06-08,1194.47,7548.42,555.388,401.87,2383.55,4346.137,5585.5,2364.17,6790.49,5990.11,434.935,580.883,3421.88,715.52,4137.05,6761.77,8561.468,875.59
2006-06-09,1188.37,7515.25,553.059,400.09,2374.381,4331.531,5585.28,2357.58,6764.69,5984.04,432.853,579.107,3409.68,714.92,4132.47,6760.45,8566.388,870.74
2006-06-10,1188.37,7515.25,553.059,400.09,2374.381,4331.531,5585.28,2357.58,6764.69,5984.04,432.853,579.107,3409.68,714.92,4132.47,6760.45,8566.388,870.74
2006-06-11,1188.37,7515.25,553.059,400.09,2374.381,4331.531,5585.28,2357.58,6764.69,5984.04,432.853,579.107,3409.68,714.92,4132.47,6760.45,8566.388,870.74
2006-06-12,1173.59,7319.75,545.754,396.56,2343.759,4280.358,5535.06,2321.19,6658.12,5947.66,421.644,571.202,3359.88,708.21,4082.45,6725.32,8523.266,861.98
2006-06-13,1165.29,7218.02,540.708,391.47,2313.483,4231.985,5495.91,2294.64,6578.18,5899.4,414.012,562.558,3334.64,702.98,4029.3,6679.77,8432.883,852.77
2006-06-14,1173.67,7327.47,546.228,393.56,2321.069,4256.282,5499.9,2305.49,6612.68,5887.63,420.378,563.841,3357.03,704.13,4039.71,6671.38,8395.358,857.7
2006-06-15,1195.58,7618,557.322,400.62,2376.387,4350.055,5582.43,2361.85,6774.33,5971.05,436.314,577.959,3433.3,717.51,4140.32,6761.44,8535.472,873.27
2006-06-16,1191.28,7559.8,555.447,399.74,2367.46,4331.786,5574.39,2351.96,6750.86,5954.54,434.462,573.692,3420.59,715.04,4119.95,6758.23,8510.157,871.13
2006-06-17,1191.28,7559.8,555.447,399.74,2367.46,4331.786,5574.39,2351.96,6750.86,5954.54,434.462,573.692,3420.59,715.04,4119.95,6758.23,8510.157,871.13
2006-06-18,1191.28,7559.8,555.447,399.74,2367.46,4331.786,5574.39,2351.96,6750.86,5954.54,434.462,573.692,3420.59,715.04,4119.95,6758.23,8510.157,871.13
2006-06-19,1180.67,7422.4,550.4,395.55,2345.411,4293.153,5520.66,2328.25,6700.21,5915.3,425.549,567.375,3380.65,708.75,4081.69,6717.13,8445.83,864.7
2006-06-20,1179.91,7407.15,550.457,396.44,2346.927,4288.545,5525.55,2325.37,6693.25,5920.2,423.579,567.251,3371.53,709.01,4081.87,6711.61,8446.946,864.97
2006-06-21,1191.36,7571.81,556.751,399.81,2370.016,4335.639,5573.25,2352.33,6775.56,5944.47,431.898,573.972,3413.62,713.87,4121.99,6745.2,8484.632,872.58
2006-06-22,1184.39,7520.4,554.381,398.76,2359.937,4324.002,5552.49,2339.83,6741.4,5925.09,430.896,573.197,3394.21,711.04,4113.57,6723.17,8455.403,868.56
2006-06-23,1183.56,7542.75,554.96,399.05,2357.483,4325.246,5577.9,2341.13,6744.6,5904.54,434.569,573.844,3399.96,709.12,4117.21,6705.34,8424.534,866.5
2006-06-24,1183.56,7542.75,554.96,399.05,2357.483,4325.246,5577.9,2341.13,6744.6,5904.54,434.569,573.844,3399.96,709.12,4117.21,6705.34,8424.534,866.5
2006-06-25,1183.56,7542.75,554.96,399.05,2357.483,4325.246,5577.9,2341.13,6744.6,5904.54,434.569,573.844,3399.96,709.12,4117.21,6705.34,8424.534,866.5
2006-06-26,1187.68,7586.53,557.722,401.51,2372.172,4355.025,5601.03,2351.24,6790.27,5931.98,436.955,579.617,3404.76,713.32,4144.28,6741.41,8480.698,870.79
2006-06-27,1176.92,7457.53,554.1,399.49,2350.612,4312.882,5559.89,2324.84,6724.86,5891.79,432.289,575.179,3368.55,707,4101.15,6692.04,8411.715,864.01
2006-06-28,1182.8,7497.65,557.744,402.23,2365.539,4341.119,5589.67,2335.03,6740.76,5908.91,435.383,579.974,3383.51,709.49,4125.22,6723.69,8453.651,868.79
2006-06-29,1207.79,7771.02,570.382,410,2417.764,4433.934,5678.84,2389.35,6894.35,6000.82,448.991,593.374,3461.92,723.17,4209.05,6818.87,8586.591,886.05
2006-06-30,1203.94,7776.43,568.35,408.48,2415.346,4445.969,5685.88,2392.51,6899.79,5998.46,450.336,593.983,3464.87,723.14,4221.31,6839.77,8601.306,882.04
2006-07-01,1203.94,7776.43,568.35,408.48,2415.346,4445.969,5685.88,2392.51,6899.79,5998.46,450.336,593.983,3464.87,723.14,4221.31,6839.77,8601.306,882.04
2006-07-02,1203.94,7776.43,568.35,408.48,2415.346,4445.969,5685.88,2392.51,6899.79,5998.46,450.336,593.983,3464.87,723.14,4221.31,6839.77,8601.306,882.04
2006-07-03,1212.58,7835.25,573.228,412.17,2436.47,4470.202,5715.09,2406.38,6944.44,6037.63,455.151,599.084,3476.67,726.61,4243.29,6883.39,8660.973,890.08
2006-07-04,1212.58,7835.25,573.228,412.17,2436.47,4470.202,5715.09,2406.38,6944.44,6037.63,455.151,599.084,3476.67,726.61,4243.29,6883.39,8660.973,890.08
2006-07-05,1203.48,7697.33,568.738,410.5,2419.988,4443.19,5685.02,2382.01,6875.66,6001.64,451.415,595.255,3439.59,721.8,4204.06,6851.18,8616.315,885.73
2006-07-06,1207.52,7697,572.559,413.37,2425.224,4453.914,5700.59,2385.17,6887.39,6015.27,449.965,596.819,3444.43,724.29,4209.05,6893.15,8639.611,889.7
2006-07-07,1198.47,7561.73,567.344,411.02,2410.617,4429.793,5670.2,2366.28,6846.5,5997.46,444.446,594.91,3418.31,720.12,4193.68,6883.53,8638.459,884.31
2006-07-08,1198.47,7561.73,567.344,411.02,2410.617,4429.793,5670.2,2366.28,6846.5,5997.46,444.446,594.91,3418.31,720.12,4193.68,6883.53,8638.459,884.31
2006-07-09,1198.47,7561.73,567.344,411.02,2410.617,4429.793,5670.2,2366.28,6846.5,5997.46,444.446,594.91,3418.31,720.12,4193.68,6883.53,8638.459,884.31
2006-07-10,1199.85,7505.65,567.616,412.63,2414.954,4442.161,5691.94,2367.32,6855.18,6025.31,444.081,597.298,3414.88,723.22,4212.94,6917.3,8685.767,885.8
2006-07-11,1203.97,7561.43,570.166,414.79,2426.689,4460.102,5707.8,2376.6,6875.21,6048.94,449.976,599.615,3428.67,723.52,4223.13,6927.8,8706.364,888.97
2006-07-12,1190.35,7433.38,562.952,411.41,2401.584,4414.834,5663.11,2350.72,6784.6,6007.3,445.343,593.521,3387.08,716.1,4181.92,6896.75,8647.386,878.83
2006-07-13,1177.42,7291.74,556.678,407.14,2365.622,4349.457,5605.67,2317.08,6693.47,5945.92,439.079,585.565,3348.25,706.01,4114.85,6818.18,8557.537,868.37
2006-07-14,1171.47,7219.45,555.789,406.45,2354.378,4320.646,5598.35,2301.37,6658.17,5924.8,438.509,583.642,3322.98,703.28,4091.65,6788.62,8549.341,864.17
2006-07-15,1171.47,7219.45,555.789,406.45,2354.378,4320.646,5598.35,2301.37,6658.17,5924.8,438.509,583.642,3322.98,703.28,4091.65,6788.62,8549.341,864.17
2006-07-16,1171.47,7219.45,555.789,406.45,2354.378,4320.646,5598.35,2301.37,6658.17,5924.8,438.509,583.642,3322.98,703.28,4091.65,6788.62,8549.341,864.17
2006-07-17,1170.77,7139.72,553.681,404.16,2349.329,4309.489,5613.5,2297.88,6666.83,5946.05,432.93,580.134,3323.8,705.17,4082.48,6804.97,8577.83,863.1
2006-07-18,1172.5,7124.64,554.702,405.5,2354.94,4314.371,5629.33,2297.66,6651.28,5962.71,433.226,580.434,3316.78,705.51,4088.14,6830.81,8606.448,865.76
2006-07-19,1191.86,7268.29,564.649,412.63,2403.823,4397.699,5718.36,2341.18,6770.85,6057.76,443.415,592.689,3378.35,719.41,4155.37,6935.73,8752.267,882.08
2006-07-20,1182,7104.79,557.861,410.13,2382.977,4362.052,5679.22,2313.98,6689.66,6048.01,436.757,588.628,3336.59,712.72,4118.7,6915,8734.095,875.99
2006-07-21,1174.75,6920.12,553.966,408.47,2363.987,4331.249,5648.62,2289.83,6604.98,6034.96,428.552,583.978,3301.26,710.26,4089.95,6893.99,8703.657,872.25
2006-07-22,1174.75,6920.12,553.966,408.47,2363.987,4331.249,5648.62,2289.83,6604.98,6034.96,428.552,583.978,3301.26,710.26,4089.95,6893.99,8703.657,872.25
2006-07-23,1174.75,6920.12,553.966,408.47,2363.987,4331.249,5648.62,2289.83,6604.98,6034.96,428.552,583.978,3301.26,710.26,4089.95,6893.99,8703.657,872.25
2006-07-24,1194.79,7107.08,565.001,414.49,2402.407,4409.422,5721.56,2329.68,6731.14,6091.39,439.298,594.429,3369.24,719.85,4153.37,6973.72,8801.846,886.23
