,NFCIADJ Index
#NAME?,0.553249
1975-12-26,-0.60591
1976-01-02,-0.699756
1976-01-09,-0.800627
1976-01-16,-0.900433
1976-01-23,-0.991207
1976-01-30,-1.065879
1976-02-06,-1.119273
1976-02-13,-1.148551
1976-02-20,-1.158825
1976-02-27,-1.155064
1976-03-05,-1.142942
1976-03-12,-1.12563
1976-03-19,-1.105432
1976-03-26,-1.081075
1976-04-02,-1.050783
1976-04-09,-1.011278
1976-04-16,-0.96087
1976-04-23,-0.899115
1976-04-30,-0.82522
1976-05-07,-0.740899
1976-05-14,-0.652088
1976-05-21,-0.566589
1976-05-28,-0.493749
1976-06-04,-0.44363
1976-06-11,-0.422658
1976-06-18,-0.431914
1976-06-25,-0.469211
1976-07-02,-0.527288
1976-07-09,-0.598324
1976-07-16,-0.675327
1976-07-23,-0.752722
1976-07-30,-0.825252
1976-08-06,-0.890942
1976-08-13,-0.947517
1976-08-20,-0.994429
1976-08-27,-1.032447
1976-09-03,-1.064109
1976-09-10,-1.092247
1976-09-17,-1.11971
1976-09-24,-1.148535
1976-10-01,-1.17781
1976-10-08,-1.20687
1976-10-15,-1.231634
1976-10-22,-1.247853
1976-10-29,-1.251157
1976-11-05,-1.239794
1976-11-12,-1.212593
1976-11-19,-1.172447
1976-11-26,-1.127011
1976-12-03,-1.084433
1976-12-10,-1.05585
1976-12-17,-1.047344
1976-12-24,-1.063081
1976-12-31,-1.100691
1977-01-07,-1.153871
1977-01-14,-1.211323
1977-01-21,-1.264891
1977-01-28,-1.308165
1977-02-04,-1.33741
1977-02-11,-1.351808
1977-02-18,-1.352732
1977-02-25,-1.341659
1977-03-04,-1.320253
1977-03-11,-1.292484
1977-03-18,-1.262217
1977-03-25,-1.234014
1977-04-01,-1.21012
1977-04-08,-1.19069
1977-04-15,-1.171126
1977-04-22,-1.14766
1977-04-29,-1.116196
1977-05-06,-1.077957
1977-05-13,-1.035922
1977-05-20,-0.998215
1977-05-27,-0.970062
1977-06-03,-0.956401
1977-06-10,-0.958759
1977-06-17,-0.974759
1977-06-24,-1.002438
1977-07-01,-1.038095
1977-07-08,-1.07683
1977-07-15,-1.111373
1977-07-22,-1.135336
1977-07-29,-1.143105
1977-08-05,-1.133407
1977-08-12,-1.10868
1977-08-19,-1.074988
1977-08-26,-1.038781
1977-09-02,-1.004008
1977-09-09,-0.97084
1977-09-16,-0.93648
1977-09-23,-0.899259
1977-09-30,-0.857379
1977-10-07,-0.813222
1977-10-14,-0.769398
1977-10-21,-0.727987
1977-10-28,-0.690028
1977-11-04,-0.654157
1977-11-11,-0.618971
1977-11-18,-0.584565
1977-11-25,-0.553257
1977-12-02,-0.528545
1977-12-09,-0.514823
1977-12-16,-0.514205
1977-12-23,-0.526475
1977-12-30,-0.547937
1978-01-06,-0.57523
1978-01-13,-0.60364
